time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2025-02-22T05:47:28.376Z,0.9780766666666667,116.76403666666666,133.0,7.8,0.0,0.0,8,gps,,,,,,,,80,
2025-02-22T05:47:34.000Z,0.97813,116.76403499999999,132.5,4.1,175.59,0.16625528,15,gps,,,,,,,,80,
2025-02-22T05:47:40.000Z,0.9781916666666667,116.76399500000001,109.9,2.4,86.68,0.25530222,17,gps,,,,,,,,80,
2025-02-22T05:47:46.000Z,0.97819,116.76397,108.5,1.8,326.52,0.0231625,17,gps,,,,,,,,80,
2025-02-22T05:47:52.000Z,0.9782016666666667,116.763975,111.1,1.7,166.41,0.05353111,19,gps,,,,,,,,80,
2025-02-22T05:47:58.000Z,0.9782033333333333,116.76396833333335,112.1,1.7,261.88,0.0,17,gps,,,,,,,,80,
2025-02-22T05:48:04.000Z,0.9782083333333333,116.76397166666666,111.6,1.9,6.35,0.0,20,gps,,,,,,,,80,
2025-02-22T05:48:10.000Z,0.9782083333333333,116.76397166666666,111.6,1.8,6.35,0.0,20,gps,,,,,,,,80,
2025-02-22T05:48:16.000Z,0.9782083333333333,116.76397166666666,111.6,1.8,6.35,0.0,21,gps,,,,,,,,80,
2025-02-22T05:48:22.000Z,0.9782083333333333,116.76397166666666,111.6,1.8,6.35,0.0,20,gps,,,,,,,,80,
2025-02-22T05:48:28.000Z,0.9782083333333333,116.76397166666666,111.6,1.9,6.35,0.0,20,gps,,,,,,,,80,
2025-02-22T05:48:34.000Z,0.9782083333333333,116.76397166666666,111.6,1.8,6.35,0.0,20,gps,,,,,,,,80,
2025-02-22T05:48:40.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,20,gps,,,,,,,,80,
2025-02-22T05:48:46.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,20,gps,,,,,,,,80,
2025-02-22T05:48:52.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,21,gps,,,,,,,,80,
2025-02-22T05:48:58.000Z,0.9782083333333333,116.76397166666666,111.6,1.8,6.35,0.0,20,gps,,,,,,,,80,
2025-02-22T05:49:04.000Z,0.9782083333333333,116.76397166666666,111.6,1.8,6.35,0.0,22,gps,,,,,,,,80,
2025-02-22T05:49:10.000Z,0.9782083333333333,116.76397166666666,111.6,1.8,6.35,0.0,19,gps,,,,,,,,80,
2025-02-22T05:49:16.000Z,0.9782083333333333,116.76397166666666,111.6,1.8,6.35,0.0,19,gps,,,,,,,,80,
2025-02-22T05:49:22.000Z,0.9782083333333333,116.76397166666666,111.6,1.8,6.35,0.0,20,gps,,,,,,,,80,
2025-02-22T05:49:28.000Z,0.9782083333333333,116.76397166666666,111.6,1.8,6.35,0.0,22,gps,,,,,,,,80,
2025-02-22T05:49:34.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,22,gps,,,,,,,,80,
2025-02-22T05:49:40.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,23,gps,,,,,,,,80,
2025-02-22T05:49:46.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,23,gps,,,,,,,,80,
2025-02-22T05:49:52.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,22,gps,,,,,,,,80,
2025-02-22T05:49:58.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,23,gps,,,,,,,,80,
2025-02-22T05:50:04.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,23,gps,,,,,,,,80,
2025-02-22T05:50:10.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,22,gps,,,,,,,,80,
2025-02-22T05:50:16.000Z,0.9782083333333333,116.76397166666666,111.6,1.8,6.35,0.0,22,gps,,,,,,,,80,
2025-02-22T05:50:22.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,23,gps,,,,,,,,80,
2025-02-22T05:50:28.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,23,gps,,,,,,,,80,
2025-02-22T05:50:34.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,23,gps,,,,,,,,80,
2025-02-22T05:50:40.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,25,gps,,,,,,,,80,
2025-02-22T05:50:46.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,24,gps,,,,,,,,80,
2025-02-22T05:50:52.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,24,gps,,,,,,,,80,
2025-02-22T05:50:58.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,26,gps,,,,,,,,80,
2025-02-22T05:51:04.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,26,gps,,,,,,,,80,
2025-02-22T05:51:10.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,25,gps,,,,,,,,80,
2025-02-22T05:51:16.000Z,0.9782083333333333,116.76397166666666,111.6,1.5,6.35,0.0,23,gps,,,,,,,,80,
2025-02-22T05:51:22.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,25,gps,,,,,,,,80,
2025-02-22T05:51:28.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,25,gps,,,,,,,,80,
2025-02-22T05:51:34.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,26,gps,,,,,,,,80,
2025-02-22T05:51:40.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,20,gps,,,,,,,,80,
2025-02-22T05:51:46.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,23,gps,,,,,,,,80,
2025-02-22T05:51:51.000Z,0.9782083333333333,116.76397166666666,111.6,1.5,6.35,0.0,24,gps,,,,,,,,80,
2025-02-22T05:51:57.000Z,0.9782083333333333,116.76397166666666,111.6,1.5,6.35,0.0,24,gps,,,,,,,,80,
2025-02-22T05:52:03.000Z,0.9782083333333333,116.76397166666666,111.6,1.5,6.35,0.0,25,gps,,,,,,,,80,
2025-02-22T05:52:09.000Z,0.9782083333333333,116.76397166666666,111.6,1.5,6.35,0.0,23,gps,,,,,,,,80,
2025-02-22T05:52:15.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,23,gps,,,,,,,,80,
2025-02-22T05:52:21.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,27,gps,,,,,,,,80,
2025-02-22T05:52:27.000Z,0.9782083333333333,116.76397166666666,111.6,1.5,6.35,0.0,24,gps,,,,,,,,80,
2025-02-22T05:52:33.000Z,0.9782083333333333,116.76397166666666,111.6,1.7,6.35,0.0,25,gps,,,,,,,,80,
2025-02-22T05:52:39.000Z,0.9782083333333333,116.76397166666666,111.6,1.6,6.35,0.0,24,gps,,,,,,,,80,
2025-02-22T05:52:45.000Z,0.9782083333333333,116.76397166666666,111.6,1.4,6.35,0.0,26,gps,,,,,,,,80,
2025-02-22T05:52:51.000Z,0.9782083333333333,116.76397166666666,111.6,1.5,6.35,0.0,26,gps,,,,,,,,80,
